English Term;Turkish Term
Fifth generation technology standard for broadband cellular networks;Geniş bant hücresel ağlar için beşinci nesil teknoloji standardı
File;Dosya
File allocation table;Dosya yerleşim tablosu
File allocation unit;Dosya ayırma birimi
File association;Dosya ilişkilendirme
File binder;Dosya bağlayıcı
File encryption;Dosya şifreleme
File encryption key;Dosya şifreleme anahtarı
File extension;Dosya uzantısı
File header;Dosya başlığı
File infector virus;Dosyaya bulaşan virüs
File integrity checking;Dosya bütünlüğü denetimi
File integrity monitoring;Dosya bütünlüğü izleme
File name anomaly;Dosya adı aykırılığı
File protection;Dosya koruması
File security;Dosya güvenliği
File sharing services;Dosya paylaşım hizmetleri
File signature anomaly;Dosya imzası aykırılığı
File slack;Dosya artık alanı
File system;Dosya sistemi
File transfer protocol;Dosya aktarım kuralı
File transfer protocol over transport layer security (Tls);Taşıma katmanı güvenliği üzerinden dosya aktarım kuralı
File transfer protocol secure;Güvenli dosya aktarım kuralı
Fileless malware;Dosyasız kötücül yazılım
Filename;Dosya adı
Filename anomaly;Dosya adı aykırılığı
Filesystem;Dosya sistemi
Filesystem virtualization;Dosya sistemi sanallaştırma
Fill device;Dolum cihazı
Filter;Süzgeç
Filtered data;Süzülmüş veri
Filtering router;Süzme yönlendiricisi
Final checklist;Son denetim listesi
Final draft international standard;Son taslak uluslararası standart
Financial malware;Finansal kötücül yazılım
Finger;Parmak
Fingerprint;Parmak izi
Fingerprint segmentation;Parmak izi bölütleme
Fingerprinting;Parmak izi
Finite field;Sonlu alan
Finite field cryptography;Sonlu alan şifrelemesi
Firepower management center;Güvenlik yönetim merkezi
Firewall;Güvenlik duvarı
Firewall control proxy;Güvenlik duvarı kontrol vekili
Firewalling;Saldırı önleme
Firmware;Ürün yazılımı
First byte of a two byte status word ;İki baytlık durum sözcüğünün ilk baytı
First in first out;İlk giren ilk çıkar
First responder;İlk yanıtlayan
First responder network authority;İlk yanıtlayan ağ yetkilisi
Fixed dialing numbers;Değişmez arama numaraları
Fixed field;Değişmez alan
Flapping;Çırpma
Flash rom;Flaş rom
Flaw hypothesis methodology;Kusur varsayım yöntemi
Flexible open source workbench for side channel analysis ;Yan kanal analizi için esnek açık kaynak yazılım takımı karşılaştırması
Flip button;Çevirme düğmesi
Flooding attack;Sel saldırısı
Flow specification;Akış belirtimi
Fmec security and privacy;Sis ve uç bilişim güvenlik ve gizliliği
Fmec virtualization;Sis ve uç bilişim sanallaştırması
Focal document;Odak belgesi
Focal document element;Odak belge öğesi
Focused observation;Odaklanmış gözlem
Focused testing;Odaklanmış sınama
Fog and mobile edge computing;Sis ve taşınabilir uç bilişim
Fog computing;Sis bilişim
Fog computing infrastructure;Sis bilişim altyapısı
For official use only;Sadece resmi kullanım için
Forced command;Zorla komuta
Forced ranking optimization;Zorunlu sıralama eniyilemesi
Foreign system;Yabancı sistem
Forensic and incident response environment;Adli bilişim ve olay müdahale ortamı
Forensic challenge;Adli bilişim meydan okuması
Forensic copy;Adli bilişim dosyası
Forensic examination;Adli bilişim soruşturması
Forensic examiner;Adli bilişim uzmanı
Forensic science;Adli bilişim bilimi
Forensic specialist;Adli bilişim uzmanı
Forensically clean;Adli bilişimce sakıncasız
Forensics;Adli bilişim
Fork bomb;Bellek sömürme
Fork bomb attack;Bellek sömürme saldırısı
Form based authentication;Form tabanlı kimlik doğrulama
Form grabbing malware;Form kapma kötücül yazılımı
Formal access approval;Resmi erişim onayı
Formal method;Resmi yöntem
Formal policy model;Resmi politika modeli
Formal verification;Resmi doğrulama
Format;Biçim
Format preserving encryption;Biçim korumalı şifreleme
Formatting function;Biçimlendirme işlevi Form-based authentication Form tabanlı kimlik doğrulama Form-grabbing malware Form kapma kötücül yazılımı
Forum for incident response teams ;Olay müdahale ekipleri oturumu
Forum of incident response and security teams ;Olay müdahale ve güvenlik takımları oturumu
Forward channel;İleri yönde kanal
Forward cipher;İleri şifreleme
Forward cipher function;İleri şifreleme işlevi
Forward lookup;İleriye doğru arama
Forward proxy;Yönlendirme vekili
Forwarding information base;İlerletme bilgi tabanı
Foundational defect checks;Temel kusur kontrolleri
Fragment offset;Parça telafisi
Fragment overlap attack;Parça örtüşme saldırısı
Fragmentation;Parçalanma
Frame check sequence;Çerçeve kontrol sırası
Framework;Çerçeve
Framework core;Çerçeve çekirdeği
Framework implementation tier ;Çerçeve uygulama katmanı
Framework profile;Çerçeve profili
Free and open source software;Ücretsiz ve açık kaynak yazılım
Free field;Serbest alan
Free space;Boş alan
Freeware;Ücretsiz yazılım
Frequency;Sıklık
Frequency accuracy;Frekans doğruluğu
Frequency drift;Frekans kayması
Frequency hopping;Frekans atlaması
Frequency hopping spread spectrum;Frekans atlamalı yayılmış çeşitlilik
Frequency modulation;Frekans modülasyonu
Frequency offset;Frekans telafisi
Frequency stability;Frekans kararlılığı
Front channel communication;Ön kanal iletişimi
Full disk encryption;Tam disk şifreleme
Full duplex;Tam çiftyönlü
Full maintenance;Tam bakım
Full node;Tam düğüm
Full tunneling;Tam tünel açma
Full virtualization;Tüm sanallaştırma Full/depot maintenance Tam/depo bakımı
Fully qualified domain name;Tam nitelikli alan adı
Functional dependency network analysis;İşlevsel bağımlılık ağ analizi
Functional exercise;İşlevsel alıştırma
Functional testing;İşlevsel testler
Functionality testing;İşlevsellik testi
Functions;İşlevler
Fungible;Değiştirilebilir
Future networks;Geleceğin ağları
Fuzzing attack;Rastgele test atağı ( G )
Galois counter mode;Galois sayacı modu
Galois message authentication code;Galois mesaj kimlik doğrulama kodu 
Galois/counter mode protocol ;Galois sayacı modu kuralı
Gate equivalents;Kapı eşdeğerleri
Gateway;Ağ geçidi
Gauss malware;Gauss zararlı yazılımı
Gaussian frequency shift keying;Gauss frekans kaydırmalı anahtarlama
General accountability office;Genel sorumluluk ofisi
General data protection regulation;Genel veri koruma yönetmeliği
General exploit level;Genel istismar düzeyi
General public license;Genel kamu lisansı
General purpose operating system;Genel amaçlı işletim sistemi
General remediation level;Genel iyileştirme düzeyi
General support;Genel destek
General support system;Genel destek sistemi
Generation encryption;Nesil şifreleme
Generic;Genel
Generic access profile;Genel erişim profili
Generic attribute protocol;Genel öznitelik protokolü
Generic network virtualization encapsulation ;Genel ağ sanallaştırma kapsülleme
Generic routing encapsulation;Genel yönlendirme kapsülleme
Generic security services application program interface ;Genel güvenlik hizmetleri uygulama programı arayüzü
Generic segmentation;Genel bölütleme
Generic token card;Genel jeton kartı
Generic top level domain;Genel üst düzey alanı
Genesis block;Oluşum bloğu
Genomic information;Genomik bilgi
Geometric random variable;Geometrik rasgele değişken
Global cyber alliance;Küresel siber ittifak
Global forum for cyber expertise;Siber uzmanlık için küresel forum
Global information grid;Küresel bilgi izgarası
Global information infrastructure;Küresel bilgi altyapısı
Global name server;Küresel ad sunucusu
Global navigation satellite system;Küresel yolbulma uydu sistemi
Global performance metric;Küresel başarım ölçümü
Global positioning system;Küresel konumlandırma sistemi
Global system for mobile communications;Mobil iletişim için küresel sistem
Global unique identification number ;Küresel benzersiz kimlik numarası
Global virtual private network;Küresel sanal özel ağ
Globally unique identifier;Küresel olarak benzersiz tanımlayıcı
Globally unique temporary identity;Küresel olarak banzersiz geçici kimlik
Globalsign certificate center;Küresel imza sertifika merkezi
Governance;Yönetişim
Governance risk compliance;Yönetişim risk uyumu
Governance risk management and compliance;Yönetişim riski yönetimi ve uyumluluk
Government forum of incident response and security teams ;Olay müdahale ve güvenlik takımlarının devlet forumu
Government information technology services board;Devlet bilgi teknolojisi hizmetleri kurulu
Government paperwork elimination act;Devlet evraklarını eleme yasası
Government smart card interoperability specification ;Hükümet akıllı kart birlikte çalışabilirlik belirlemesi
 Gprs (general packet radio service tunnelling protocol) location information;Genel paket radyo hizmeti tünelleme kuralı - konum bilgisi
Graded label;Dereceli etiket
Graduated security;Dereceli güvenlik
Graphical identification and authentication ;Çizgesel tanımlama ve kimlik doğrulama
Gray box testing;Gri kutu testi
Gray market;Gri pazar
Greyhat hacker;Niyeti belirsiz siber saldırgan
Greylist;Gri liste
Grid network;Izgara ağ
Group authenticator;Toplu kimlik doğrulayıcı
Group communication system enablers;Topluluk iletişim sistemi etkinleştiricileri
Group domain of interpretation;Topluluk yorum alanı
Group master key;Öbek ana anahtarı
Group of eight;Sekizli öbek
Group policies objects;Topluluk ilkeleri nesneleri
Group policy management console;Topluluk ilkesi yönetim konsolu
Group policy object;Topluluk ilkesi nesnesi
Group security;Topluluk güvenliği
Group temporal key;Topluluk geçici anahtarı
Group traffic encryption key;Topluluk trafik şifreleme anahtarı
Guard system;Koruma sistemi
Guessing entropy;Düzensizlik kestirimi
Guest operating system;Konuk işletim sistemi
Guest tools;Konuk araçları
Guideline;Yönerge ( H )
Hack;Siber saldırı yapmak
Hack attack map;Siber saldırı haritası
Hack day;Siber saldırı günü
Hacked;Siber saldırıya uğramış
Hacker;Siber saldırgan
Hacker friendly;Siber saldırgan dostu
Hacker proof;Siber saldırgana dirençli
Hacker proof encrypted data;Siber saldırgana dirençli veri
Hacking;Siber saldırı
Hacking marathon;Kodlama çekişmesi
Hacking tool;Siber saldırı aracı
Hacktivism;Siber eylem
Hacktivist;Siber eylemci
Handling requirements;Elden geçirme gereksinimleri
Handshake;El sıkışma / tokalaşma
Handshaking procedures;El sıkışma yordamı
Hard copy key;Basılı kopya anahtarı
Hard disk;Sabit disk
Hard fork;Zor çatallaşma
Hard token;Şifre üreten gereç
Hardening;Güçlendirme
Hardware;Donanım
Hardware asset management;Donanım varlık yönetimi
Hardware device;Donanım aygıtı
Hardware driver;Donanım sürücüsü
Hardware security module;Donanım güvenlik birimi
Hardware virtual private network;Donanımsal sanal özel ağ
Hardware virtualisation;Donanım sanallaştırma
Hardwired key;Donanım bağlantılı anahtar
Harm;Zarar
Hash algorithm;Özetlem algoritması
Hash based key derivation function;Özetlem tabanlı anahtar türetme işlevi
Hash based message authentication code;Özetlem tabanlı mesaj kimlik doğrulama kodu
Hash based message authentication code algorithms ;Özetlem tabanlı mesaj doğrulama kodu algoritması
Hash based signature;Özetlem tabanlı imza
Hash chain;Özetlem zinciri
Hash code;Özetlem kodu
Hash digest;Özetlem özeti
Hash function;Özetlem fonksiyonu
Hash function;Özetlem işlevi
Hash output;Özetlem çıktısı
Hash rate;Özetlem oranı
Hash total;Özetlem toplamı
Hash value;Özetlem değeri Hash value/result Özetlem değeri / sonuç
Hashed message authentication code ;Özetlem mesaj kimlik doğrulama kodu
Hashed timelock contract;Özetlem zaman kilitli sözleşme
Hashword;Özetlem toplamını içeren hafıza adresi
Hazard;Tehlike
Header;Başlık
Heap;Yığın
Hidden field equation;Gizli alan denklemi
Hidden medium field equation;Gizli orta alan denklemi
Hidden variable;Saklı değişken
Hidden web analytics;Gizlenmiş bilgiağı çözümlemesi
Hierarchical deterministic;Sıradüzensel gerekirci
Hierarchical signature scheme;Sıradüzensel imza şeması
High assurance cryptographic equipment ;Yüksek güvenceli şifreleme donatısı
High assurance evaluation program;Yüksek güvence değerlendirme programı
High assurance guard;Yüksek güvenceli koruma
High assurance ict equipment;Yüksek güvenceli bit donatısı
High assurance internet protocol encryptor;Yüksek güvenceli internet protokolü şifreleyici
